,Country,Population Aged 0 to 14 (%),Population Aged 60 and Over (%),Population density,Population(in millions),Female Population(in millions),Male Population(in millions),Sex ratio (males per 100 females),Working-Age (15-59) %,Youth Dependency Ratio,Old-Age Dependency Ratio,Total Dependency Ratio,Country_Standard,iso_alpha3,Continent
157,Solomon Islands,37.0,5.7,28.4,0.82,0.4,0.42,104.6,57.3,64.57242582897034,9.947643979057592,74.52006980802793,Solomon Islands,SLB,Oceania
158,Somalia,46.6,4.1,30.3,19.01,9.49,9.52,100.4,49.3,94.52332657200813,8.316430020283976,102.8397565922921,Somalia,SOM,Africa
159,South Africa,25.9,10.2,52.4,64.01,32.85,31.15,94.8,63.89999999999999,40.532081377151805,15.96244131455399,56.4945226917058,South Africa,ZAF,Africa
160,South Sudan,38.9,5.0,21.2,11.94,6.07,5.87,96.8,56.1,69.34046345811052,8.9126559714795,78.25311942959001,South Sudan,SSD,Africa
161,Spain,12.9,28.1,95.4,47.91,24.39,23.52,96.4,58.99999999999999,21.86440677966102,47.62711864406781,69.49152542372883,Spain,ESP,Europe
162,Sri Lanka,22.0,17.2,368.4,23.1,11.93,11.18,93.7,60.8,36.18421052631579,28.289473684210524,64.47368421052632,Sri Lanka,LKA,Asia
163,Sudan,40.5,5.3,28.6,50.45,25.44,25.01,98.3,54.2,74.72324723247232,9.778597785977858,84.50184501845018,Sudan,SDN,Africa
164,Suriname,25.6,12.2,4.1,0.63,0.32,0.32,99.8,62.2,41.157556270096464,19.614147909967844,60.771704180064305,Suriname,SUR,South America
165,Sweden,17.0,26.4,26.0,10.61,5.26,5.34,101.5,56.6,30.035335689045933,46.64310954063604,76.67844522968197,Sweden,SWE,Europe
166,Switzerland,15.0,26.9,223.1,8.92,4.49,4.43,98.7,58.1,25.817555938037867,46.299483648881235,72.1170395869191,Switzerland,CHE,Europe
167,Syria,29.2,7.4,134.3,24.67,12.33,12.34,100.1,63.4,46.05678233438486,11.67192429022082,57.728706624605685,Syria,SYR,Asia
168,Tajikistan,36.3,6.7,74.0,10.59,5.39,5.2,96.6,57.0,63.68421052631579,11.75438596491228,75.43859649122807,Tajikistan,TJK,Asia
169,Thailand,14.7,22.0,140.3,71.67,36.77,34.9,94.9,63.3,23.22274881516588,34.75513428120063,57.97788309636651,Thailand,THA,Asia
170,Timor-Leste,33.7,7.5,94.2,1.4,0.69,0.71,101.7,58.8,57.31292517006803,12.755102040816327,70.06802721088435,Timor-Leste,TLS,Other
171,Togo,39.5,5.2,174.9,9.52,4.73,4.79,101.3,55.3,71.42857142857143,9.403254972875228,80.83182640144666,Togo,TGO,Africa
172,Tonga,35.4,9.7,160.3,0.1,0.06,0.05,89.5,54.89999999999999,64.48087431693989,17.66848816029144,82.14936247723134,Tonga,TON,Oceania
173,Trinidad and Tobago,17.8,18.6,293.9,1.51,0.76,0.75,97.8,63.6,27.9874213836478,29.245283018867923,57.23270440251572,Trinidad and Tobago,TTO,North America
174,Tunisia,24.0,14.4,79.0,12.28,6.21,6.07,97.7,61.6,38.961038961038966,23.376623376623375,62.33766233766234,Tunisia,TUN,Africa
175,Turkmenistan,31.5,7.9,15.9,7.49,3.82,3.68,96.4,60.6,51.98019801980198,13.036303630363037,65.01650165016503,Turkmenistan,TKM,Asia
176,Tuvalu,32.9,11.1,321.5,0.01,0.0,0.0,104.8,55.99999999999999,58.75,19.821428571428573,78.57142857142857,Tuvalu,TUV,Oceania
177,Turkey,21.4,15.0,113.7,87.47,43.81,43.66,99.7,63.599999999999994,33.64779874213836,23.584905660377363,57.23270440251572,Türkiye,TUR,Asia
178,Uganda,43.5,3.5,250.3,50.02,25.21,24.81,98.4,53.0,82.0754716981132,6.60377358490566,88.67924528301887,Uganda,UGA,Africa
179,Ukraine,13.9,26.3,65.4,37.86,20.26,17.6,86.9,59.8,23.244147157190636,43.979933110367895,67.22408026755853,Ukraine,UKR,Europe
180,United Arab Emirates,16.1,3.7,155.3,11.03,3.98,7.05,177.0,80.2,20.07481296758105,4.613466334164588,24.688279301745638,United Arab Emirates,ARE,Asia
181,United Kingdom,17.2,25.5,284.8,69.14,35.09,34.04,97.0,57.3,30.017452006980804,44.50261780104712,74.52006980802793,United Kingdom,GBR,Europe
182,Tanzania,42.5,4.5,77.4,68.56,34.58,33.98,98.3,53.0,80.18867924528303,8.49056603773585,88.67924528301887,Tanzania,TZA,Africa
183,United States of America,17.3,24.2,37.8,345.43,171.88,173.55,101.0,58.5,29.572649572649574,41.36752136752136,70.94017094017093,United States,USA,North America
184,Uruguay,18.3,21.4,19.6,3.39,1.74,1.64,94.2,60.300000000000004,30.34825870646766,35.489220563847425,65.83747927031509,Uruguay,URY,South America
185,Uzbekistan,31.1,9.5,85.5,36.36,18.02,18.34,101.8,59.400000000000006,52.35690235690236,15.993265993265993,68.35016835016836,Uzbekistan,UZB,Asia
186,Vanuatu,38.3,6.7,26.9,0.33,0.16,0.17,101.9,55.0,69.63636363636363,12.181818181818183,81.81818181818181,Vanuatu,VUT,Oceania
187,Venezuela,25.5,14.3,31.0,28.41,14.37,14.03,97.6,60.2,42.35880398671096,23.754152823920265,66.11295681063123,Venezuela,VEN,South America
188,Vietnam,23.2,13.9,322.2,100.99,51.53,49.46,96.0,62.9,36.88394276629571,22.09856915739269,58.9825119236884,Vietnam,VNM,Asia
189,Yemen,41.1,4.0,76.9,40.58,20.03,20.56,102.7,54.9,74.86338797814209,7.285974499089254,82.14936247723134,Yemen,YEM,Asia
190,Zambia,41.5,3.3,28.7,21.32,10.76,10.55,98.0,55.2,75.18115942028986,5.978260869565217,81.15942028985508,Zambia,ZMB,Africa
191,Zimbabwe,40.9,5.0,43.0,16.63,8.71,7.93,91.1,54.1,75.60073937153419,9.242144177449168,84.84288354898335,Zimbabwe,ZWE,Africa
